id,repository_id,commit_hash,changed_files,changed_sloc,created_at
1,7,d0815e386e02254456afec2c78bc29d3201c6f3b,3,85,"2025-10-15 02:57:30"
2,9,d100c836c1fbfec4cfc421106f495d04e6e680fb,5,422,"2025-10-15 02:58:16"
3,9,a1597d07224338d50c4fa5e52b7c45bbf0766d1f,6,495,"2025-10-15 02:58:20"
4,9,c01ac247fe3b2135e27c652ec6dd50b2be65f855,3,8,"2025-10-15 02:58:23"
5,9,80b4b9544e4eca6bd6446f3dd89e204f9bbec759,3,41,"2025-10-15 02:58:27"
6,9,47c5150c3ff2c37bfee49c5fbbd228bd48e4f162,79,995,"2025-10-15 02:58:30"
7,9,efb3549e5ae7be92d43ba1fc478bee1aa0722da7,32,347,"2025-10-15 02:58:37"
8,9,69774c2df676c1b58a68c88e865d3d08f3c54ac1,4,64,"2025-10-15 02:58:40"
9,9,ceaacdabd1a3d945ac673ffb4b0810e413f0972c,125,1985,"2025-10-15 02:58:44"
10,9,ef42c70558094723784a059bcd4d359ba856e91a,14,227,"2025-10-15 02:58:49"
11,9,34a79b163e72b3739a3e5d0f6d1c20dbb099cf02,3,52,"2025-10-15 02:58:53"
12,9,8e06ea63ac0e8cb72aef38734210430ac9817661,19,238,"2025-10-15 02:58:58"
13,9,8c8911367497763f95c2b953d37d47af59116f0c,2,70,"2025-10-15 02:59:01"
14,9,dcb374a1f420cb5d06d9369cc49e50cc4aa0f136,5,37,"2025-10-15 02:59:05"
15,9,87d866d8197772e9789be4650428190616719581,2,8,"2025-10-15 02:59:08"
16,9,7eaaff8e34e74ba9a861e7505acdf9f56c4816de,19,1717,"2025-10-15 02:59:12"
17,9,e71774173f2fbdb8153a6082febc9b8d4254bb28,15,1431,"2025-10-15 02:59:15"
18,9,f32bb7071c26acf579a6020ec317f0b950f07cb0,1,2,"2025-10-15 02:59:20"
19,9,b0ef2b4d592ca9451a19c7089e6d563ccc7d53b2,18,838,"2025-10-15 02:59:24"
20,9,167a731fbcf0b1291229722517fec9112abeb03c,10,550,"2025-10-15 02:59:27"
21,9,da05ae645fa0fd1f8a5b308f87cf28bd0bf0560c,5,79,"2025-10-15 02:59:31"
22,9,2ff4126bd25e117689dee247ae3ad135ca0a93ed,2,13,"2025-10-15 02:59:36"
