commit_id,cbo,wmc,rfc,changed_sloc
143,8.3356,12.0763,17.4017,264
142,8.3305,11.9797,17.3746,124
141,8.3166,11.9682,17.335,56
140,8.3132,11.9698,17.3333,252
139,8.3216,12.0369,17.3786,663
138,8.3417,12.0201,17.3853,14
137,8.3501,12.0536,17.4221,338
136,8.34,12.0862,17.3997,2
135,8.34,12.0862,17.3997,2
134,8.3466,12.1078,17.4362,2
133,8.3516,12.1078,17.4362,2
132,8.3516,12.1095,17.4362,2
131,8.3566,12.1194,17.4627,2
130,8.3615,12.1376,17.4925,2
106,1,5,2.25,2
105,1,5,2.25,2
104,3.9316,20.0763,4.8724,2
103,3.9316,20.0763,4.8724,2
102,3.9316,20.0763,4.8724,10
101,3.9316,20.0763,4.8724,10
100,3.9316,20.0763,4.8724,10
99,3.9316,20.0763,4.8724,2
98,3.9316,20.0763,4.8724,2
97,3.9316,20.0763,4.8724,2
96,3.9329,20.0763,4.8724,2
95,3.9342,20.0882,4.8763,2
94,3.9342,20.0882,4.8763,2
93,3.9342,20.0908,4.8776,2
92,3.9342,20.0908,4.8776,2
91,3.9342,20.0908,4.8776,4
90,3.9342,20.0908,4.8776,2
89,3.9342,20.0908,4.8776,6
88,3.9342,20.0908,4.8776,8
87,3.9342,20.0908,4.8776,10
86,3.9342,20.0908,4.8776,2
85,3.9342,20.0908,4.8776,2
84,3.9342,20.0908,4.8776,2
83,3.9342,20.0908,4.8776,2
82,3.9342,20.0908,4.8776,4
81,3.9342,20.0908,4.8776,17
80,3.9342,20.0908,4.8776,2
79,3.9342,20.0908,4.8776,73
78,3.9342,20.0908,4.8776,4
77,3.9342,20.0908,4.8776,4
76,3.9342,20.0908,4.8776,2
75,3.9342,20.0908,4.8776,2
74,3.9342,20.0908,4.8776,2
73,3.9342,20.0908,4.8776,2
72,3.9342,20.0908,4.8776,2
71,3.9342,20.0908,4.8776,2
70,3.9342,20.0908,4.8776,2
69,3.9342,20.0908,4.8776,1084
68,3.9342,20.0908,4.8776,205
67,3.9342,20.0908,4.8776,4
66,3.9342,20.0908,4.8776,4
65,3.9342,20.0908,4.8776,4
64,3.9342,20.0908,4.8776,31
63,3.9342,20.0908,4.8776,31
62,3.9342,20.0908,4.8776,31
61,3.9342,20.0908,4.8776,2
60,1.8744,8.7488,6.5535,2
59,1.8744,8.7488,6.5535,2
58,3.3703,3.2904,4.9632,41
57,3.3703,3.2909,4.9632,21
56,3.3703,3.2914,4.9627,38
55,3.3703,3.2914,4.9627,38
54,3.3703,3.2914,4.9627,13
53,3.3703,3.2914,4.9627,3
52,3.3703,3.2914,4.9627,3
51,3.3703,3.2909,4.9632,12
50,3.3708,3.2904,4.9632,15
49,3.3708,3.2904,4.9632,225
48,3.3708,3.2904,4.9632,15
47,3.3708,3.2904,4.9627,332
46,3.3708,3.2893,4.9627,234
45,3.3708,3.2882,4.9627,23
44,3.3701,3.287,4.9611,110
43,3.3698,3.2844,4.9634,78
42,3.3633,3.2867,4.9741,9
41,3.3633,3.2867,4.9741,14
40,8.2166,11.6517,16.7101,120
107,5.4257,5.021,7.1865,8010
108,5.2928,4.9741,7.0993,7153
109,5.2765,4.93,7.0334,2
110,5.4257,5.021,7.1865,30
111,5.2928,4.9741,7.0993,151
112,5.2765,4.93,7.0334,23
113,5.4257,5.0207,7.1867,133
114,5.2928,4.9738,7.0995,25
115,5.2765,4.9297,7.0335,2
116,5.4257,5.0207,7.1867,78
117,5.4257,5.0207,7.1867,920
118,5.2928,4.9738,7.0995,14
119,5.2765,4.9297,7.0335,65
120,5.4258,5.0209,7.187,21
121,5.4258,5.0209,7.187,2
122,5.2929,4.9738,7.0996,12
123,5.4258,5.0209,7.187,34
124,5.4258,5.0209,7.187,6
125,5.4258,5.0208,7.187,96
126,5.2929,4.9738,7.0996,13
127,5.4261,5.0214,7.1868,1
128,5.4264,5.0214,7.1864,50
129,5.4264,5.0214,7.1864,47
1,0,1,1,12
2,8.2145,11.6688,16.7197,14
3,8.2146,11.6693,16.7194,1
4,8.2146,11.6685,16.7189,493
5,8.2146,11.6685,16.7189,5
6,8.2145,11.6685,16.7189,24
7,8.2144,11.665,16.7162,1967
8,8.2144,11.6641,16.715,7
9,8.2144,11.664,16.715,30
10,8.2134,11.6582,16.7102,14
11,8.2134,11.6577,16.7096,4065
12,8.2134,11.6576,16.7096,5
13,8.2134,11.6567,16.7091,394
14,8.2134,11.6567,16.709,49
15,8.2134,11.6566,16.7089,69
16,8.2134,11.6566,16.7089,12
17,8.2153,11.6569,16.7116,38
18,8.2166,11.656,16.7099,103
19,8.2166,11.656,16.7099,14
20,8.216,11.6555,16.7096,322
